year,decade,date_id,month,day
1930,1930,19300101,1,1
1931,1930,19310101,1,1
1932,1930,19320101,1,1
1933,1930,19330101,1,1
1934,1930,19340101,1,1
1935,1930,19350101,1,1
1936,1930,19360101,1,1
1937,1930,19370101,1,1
1938,1930,19380101,1,1
1939,1930,19390101,1,1
1940,1940,19400101,1,1
1941,1940,19410101,1,1
1942,1940,19420101,1,1
1943,1940,19430101,1,1
1944,1940,19440101,1,1
1945,1940,19450101,1,1
1946,1940,19460101,1,1
1947,1940,19470101,1,1
1948,1940,19480101,1,1
1949,1940,19490101,1,1
1950,1950,19500101,1,1
1951,1950,19510101,1,1
1952,1950,19520101,1,1
1953,1950,19530101,1,1
1954,1950,19540101,1,1
1955,1950,19550101,1,1
1956,1950,19560101,1,1
1957,1950,19570101,1,1
1958,1950,19580101,1,1
1959,1950,19590101,1,1
1960,1960,19600101,1,1
1961,1960,19610101,1,1
1962,1960,19620101,1,1
1963,1960,19630101,1,1
1964,1960,19640101,1,1
1965,1960,19650101,1,1
1966,1960,19660101,1,1
1967,1960,19670101,1,1
1968,1960,19680101,1,1
1969,1960,19690101,1,1
1970,1970,19700101,1,1
1971,1970,19710101,1,1
1972,1970,19720101,1,1
1973,1970,19730101,1,1
1974,1970,19740101,1,1
1975,1970,19750101,1,1
1976,1970,19760101,1,1
1977,1970,19770101,1,1
1978,1970,19780101,1,1
1979,1970,19790101,1,1
1980,1980,19800101,1,1
1981,1980,19810101,1,1
1982,1980,19820101,1,1
1983,1980,19830101,1,1
1984,1980,19840101,1,1
1985,1980,19850101,1,1
1986,1980,19860101,1,1
1987,1980,19870101,1,1
1988,1980,19880101,1,1
1989,1980,19890101,1,1
1990,1990,19900101,1,1
1991,1990,19910101,1,1
1992,1990,19920101,1,1
1993,1990,19930101,1,1
1994,1990,19940101,1,1
1995,1990,19950101,1,1
1996,1990,19960101,1,1
1997,1990,19970101,1,1
1998,1990,19980101,1,1
1999,1990,19990101,1,1
2000,2000,20000101,1,1
2001,2000,20010101,1,1
2002,2000,20020101,1,1
2003,2000,20030101,1,1
2004,2000,20040101,1,1
2005,2000,20050101,1,1
2006,2000,20060101,1,1
2007,2000,20070101,1,1
2008,2000,20080101,1,1
2009,2000,20090101,1,1
2010,2010,20100101,1,1
2011,2010,20110101,1,1
2012,2010,20120101,1,1
2013,2010,20130101,1,1
2014,2010,20140101,1,1
2015,2010,20150101,1,1
2016,2010,20160101,1,1
2017,2010,20170101,1,1
2018,2010,20180101,1,1
2019,2010,20190101,1,1
2020,2020,20200101,1,1
2021,2020,20210101,1,1
2022,2020,20220101,1,1
2023,2020,20230101,1,1
2024,2020,20240101,1,1
2025,2020,20250101,1,1
2026,2020,20260101,1,1
