team_name,team_id,runner_up,third_place,fourth_place,confederation,fifa_rank_2026
Algeria,1,0,0,0,CAF,36.0
Argentina,2,3,0,0,CONMEBOL,3.0
Australia,3,0,0,0,AFC,26.0
Austria,4,0,1,1,UEFA,23.0
Belgium,5,0,1,1,UEFA,9.0
Bolivia,6,0,0,0,,
Bosnia and Herzegovina,7,0,0,0,UEFA,52.0
Brazil,8,2,2,2,CONMEBOL,6.0
Bulgaria,9,0,0,1,,
Cameroon,10,0,0,0,,
Canada,11,0,0,0,CONCACAF,30.0
Cape Verde,12,0,0,0,CAF,70.0
Chile,13,0,1,0,,
Colombia,14,0,0,0,CONMEBOL,13.0
Costa Rica,15,0,0,0,,
Croatia,16,1,2,0,UEFA,11.0
Curaçao,17,0,0,0,CONCACAF,81.0
Czechia,18,2,0,0,UEFA,41.0
DR Congo,19,0,0,0,CAF,51.0
Denmark,20,0,0,0,,
Ecuador,21,0,0,0,CONMEBOL,24.0
Egypt,22,0,0,0,CAF,29.0
England,23,0,0,2,UEFA,4.0
France,24,2,2,1,UEFA,1.0
Germany,25,4,4,1,UEFA,10.0
Ghana,26,0,0,0,CAF,65.0
Haiti,27,0,0,0,CONCACAF,83.0
Hungary,28,2,0,0,,
Iran,29,0,0,0,AFC,21.0
Iraq,30,0,0,0,AFC,61.0
Ireland,31,0,0,0,,
Italy,32,2,1,1,,
Ivory Coast,33,0,0,0,CAF,33.0
Japan,34,0,0,0,AFC,18.0
Jordan,35,0,0,0,AFC,68.0
Mexico,36,0,0,0,CONCACAF,15.0
Morocco,37,0,0,1,CAF,8.0
Netherlands,38,3,1,1,UEFA,7.0
New Zealand,39,0,0,0,OFC,95.0
Nigeria,40,0,0,0,,
North Korea,41,0,0,0,,
Northern Ireland,42,0,0,0,,
Norway,43,0,0,0,UEFA,44.0
Panama,44,0,0,0,CONCACAF,53.0
Paraguay,45,0,0,0,CONMEBOL,64.0
Peru,46,0,0,0,,
Poland,47,0,2,0,,
Portugal,48,0,1,1,UEFA,5.0
Qatar,49,0,0,0,AFC,35.0
Romania,50,0,0,0,,
Russia,51,0,0,1,,
Saudi Arabia,52,0,0,0,AFC,57.0
Scotland,53,0,0,0,UEFA,47.0
Senegal,54,0,0,0,CAF,14.0
Serbia,55,0,0,2,,
South Africa,56,0,0,0,CAF,60.0
South Korea,57,0,0,1,AFC,25.0
Spain,58,0,0,1,UEFA,2.0
Sweden,59,1,2,1,UEFA,39.0
Switzerland,60,0,0,0,UEFA,19.0
Tunisia,61,0,0,0,CAF,40.0
Turkey,62,0,1,0,,
Türkiye,63,0,0,0,UEFA,42.0
USA,64,0,0,0,CONCACAF,16.0
Ukraine,65,0,0,0,,
United States,66,0,1,0,,
Uruguay,67,0,0,3,CONMEBOL,17.0
Uzbekistan,68,0,0,0,AFC,62.0
