year,stage,team1,score1,score2,team2,venue,city,country,date,notes,total_goals,goal_diff,is_knockout,is_group_stage,is_upset,has_extra_time,has_penalties,is_record
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,5,3,False,True,False,False,False,True
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,,3,3,False,True,False,False,False,False
1930,Group Stage,Serbia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,,3,1,False,True,False,False,False,False
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,,1,1,False,True,False,False,False,False
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,,9,3,False,True,False,False,False,False
1930,Semi-final,Uruguay,6,1,Serbia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,,7,5,True,False,False,False,False,False
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,,7,5,True,False,False,False,False,False
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,6,2,True,False,False,False,False,True
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,,8,6,True,False,False,False,False,False
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,,7,3,True,False,False,False,False,False
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,2,0,True,False,False,True,False,False
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,1934-06-03,,1,1,True,False,False,False,False,False
1934,Semi-final,Germany,3,1,Sweden,Stadio Bentegodi,Bologna,Italy,1934-06-03,,4,2,True,False,False,False,False,False
1934,3rd Place,Germany,3,2,Austria,Stadio Bentegodi,Naples,Italy,1934-06-07,,5,1,True,False,False,False,False,False
1934,Final,Italy,2,1,Czechia,PNF Stadium,Rome,Italy,1934-06-10,AET,3,1,True,False,False,True,False,False
1938,Round of 16,Brazil,6,5,Poland,Stade de la Meinau,Strasbourg,France,1938-06-05,AET - 11 goals!,11,1,True,False,False,True,False,False
1938,Round of 16,Italy,2,1,Norway,Stade de Gerland,Lyon,France,1938-06-05,AET,3,1,True,False,False,True,False,False
1938,Quarter-final,Brazil,1,1,Czechia,Stade de la Meinau,Bordeaux,France,1938-06-12,Replay,2,0,True,False,False,False,False,False
1938,Semi-final,Italy,2,1,Brazil,Stade de Colombes,Paris,France,1938-06-16,,3,1,True,False,False,False,False,False
1938,Semi-final,Hungary,5,1,Sweden,Stade Olympique,Paris,France,1938-06-16,,6,4,True,False,False,False,False,False
1938,3rd Place,Brazil,4,2,Sweden,Stade de Bordeaux,Bordeaux,France,1938-06-19,,6,2,True,False,False,False,False,False
1938,Final,Italy,4,2,Hungary,Stade de Colombes,Paris,France,1938-06-19,,6,2,True,False,False,False,False,False
1950,Group Stage,Brazil,4,0,Mexico,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-06-24,,4,4,False,True,False,False,False,False
1950,Group Stage,England,0,1,USA,Estádio Independência,Belo Horizonte,Brazil,1950-06-29,Greatest WC upset ever,1,1,False,True,True,False,False,False
1950,Final Round,Brazil,7,1,Sweden,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-07-09,,8,6,True,False,False,False,False,False
1950,Final Round,Uruguay,3,2,Sweden,Estádio do Maracanã,São Paulo,Brazil,1950-07-09,,5,1,True,False,False,False,False,False
1950,Final Round,Uruguay,2,1,Brazil,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-07-16,Maracanazo,3,1,True,False,False,False,False,False
